,rep,k,fuv_vals,error_variance,non_zero_ratio,SS_err
219,9,16,0.04486414467196949,4.519782810626442,0.023809523809523808,4.519782810626442
220,10,16,0.04454346969347751,4.55292843515463,0.034722222222222224,4.55292843515463
221,11,16,0.07616378070100174,8.116537500735324,0.021825396825396824,8.116537500735324
222,12,16,0.08005754195574899,8.299843125208264,0.041666666666666664,8.299843125208264
223,13,16,0.08871286822328636,9.389985531430096,0.018849206349206348,9.389985531430096
224,14,16,0.05252800431543563,5.673024466067048,0.04365079365079365,5.673024466067048
225,0,17,0.04398732045482574,4.59228622993289,0.022408963585434174,4.59228622993289
226,1,17,0.05571339213619117,5.816490772440611,0.032679738562091505,5.816490772440611
227,2,17,0.07365446801267278,7.796099966280151,0.04201680672268908,7.796099966280151
228,3,17,0.02416831829481473,2.3087868419117967,0.02707749766573296,2.3087868419117967
229,4,17,0.036524704852413686,3.7065121403801444,0.0392156862745098,3.7065121403801444
230,5,17,0.05669602276467211,5.9190776328727575,0.032679738562091505,5.9190776328727575
231,6,17,0.06849818997347358,7.101445001331548,0.040149393090569564,7.101445001331548
232,7,17,0.06704966279688536,7.0,0.0196078431372549,7.0
233,8,17,0.05963416299035028,6.051650519786056,0.036414565826330535,6.051650519786056
234,9,17,0.02603692551836822,2.565227570033609,0.028944911297852476,2.565227570033609
235,10,17,0.09037856437312158,8.633817118351594,0.032679738562091505,8.633817118351594
236,11,17,0.029272586033994054,2.992043283601623,0.02334267040149393,2.992043283601623
237,12,17,0.050474486992002035,5.269547887426915,0.04948646125116713,5.269547887426915
238,13,17,0.0534624912331938,5.425351788919514,0.029878618113912233,5.425351788919514
239,14,17,0.04240707371441893,4.178058372519118,0.03361344537815126,4.178058372519118
240,0,18,0.06770402211693513,7.3120343886289945,0.03262786596119929,7.3120343886289945
241,1,18,0.02817859220431123,2.9213724162836954,0.04938271604938271,2.9213724162836954
242,2,18,0.05690733818218356,5.564273066702393,0.09171075837742504,5.564273066702393
243,3,18,0.10392365576167562,11.000000828733278,0.021164021164021163,11.000000828733278
244,4,18,0.030681818181818185,3.0,0.019400352733686066,3.0
245,5,18,0.052681626519123545,5.4999737545435545,0.02204585537918871,5.4999737545435545
246,6,18,0.058723577536912916,5.91603424673462,0.04056437389770723,5.91603424673462
247,7,18,0.022890090867555467,2.3564076876433493,0.018518518518518517,2.3564076876433493
248,8,18,0.05033880526737499,5.108361412082084,0.02821869488536155,5.108361412082084
249,9,18,0.05677536118363046,6.091120807257408,0.03262786596119929,6.091120807257408
250,10,18,2.0867111314979236e-05,0.002024748586674873,0.01675485008818342,0.002024748586674873
251,11,18,0.014007969469328715,1.5028391281578566,0.019400352733686066,1.5028391281578566
252,12,18,0.08282013178919073,8.404553169831653,0.04056437389770723,8.404553169831653
253,13,18,0.048917383973733256,5.0,0.01763668430335097,5.0
254,14,18,0.02853787257044926,3.0000357650023304,0.018518518518518517,3.0000357650023304
255,0,19,0.06704966279688536,7.0,0.01670843776106934,7.0
256,1,19,0.046586061165098384,4.8635953493689605,0.03258145363408521,4.8635953493689605
257,2,19,0.0475625539257981,5.0,0.015037593984962405,5.0
258,3,19,0.043027996458449756,4.585359912837425,0.03926482873851295,4.585359912837425
259,4,19,0.03885590933621154,3.999999999999999,0.018379281537176273,3.999999999999999
260,5,19,0.05193875974190528,5.308824340422046,0.025898078529657476,5.308824340422046
261,6,19,0.06524702774108322,7.0,0.015873015873015872,7.0
262,7,19,0.039133907178986606,4.0,0.01921470342522974,4.0
263,8,19,0.09228278467350241,9.5,0.015037593984962405,9.5
